sentences,labels
"Pioneer Coal Limited is a Canadian mining company based in <e1> Antigonish </e1> , <e2> Nova Scotia </e2> .",located in the administrative territorial entity
"Stellarton Surface Coal Mine , located in <e1> Stellarton </e1> , <e2> Nova Scotia",located in the administrative territorial entity
"<e1> Stellarton Surface Coal Mine </e1> , located in <e2> Stellarton </e2> , Nova Scotia",located in the administrative territorial entity
"<e1> Stellarton Surface Coal Mine </e1> , located in Stellarton , <e2> Nova Scotia",located in the administrative territorial entity
"<e1> Point Aconi Surface Coal Mine </e1> , located in Point Aconi , <e2> Nova Scotia",located in the administrative territorial entity
"Point Aconi Surface Coal Mine , located in <e1> Point Aconi </e1> , <e2> Nova Scotia",located in the administrative territorial entity
Societatea Națională de Gaze Naturale Romgaz SA Mediaș ( <e1> SNGN Romgaz SA </e1> ) or simply Romgaz is the largest natural gas producer in <e2> Romania </e2> and one of the largest in Eastern Europe .,country
Societatea Națională de Gaze Naturale Romgaz SA Mediaș ( SNGN Romgaz SA ) or simply Romgaz is the largest natural gas producer in <e1> Romania </e1> and one of the largest in <e2> Eastern Europe </e2> .,part of
Societatea Națională de Gaze Naturale Romgaz SA Mediaș ( SNGN Romgaz SA ) or simply Romgaz is the largest natural gas producer in <e2> Romania </e2> and one of the largest in <e1> Eastern Europe </e1> .,has part
"Romgaz is structured into six branches : two production branches located in Târgu Mureș and Mediaș , one underground storage branch located in Ploieşti , a special operations branch located in Mediaş , a maintenance branch located in Târgu Mureș and one international office located in <e1> Bratislava </e1> , <e2> Slovakia </e2> .",located in the administrative territorial entity
"Romgaz is structured into six branches : two production branches located in Târgu Mureș and Mediaș , one underground storage branch located in Ploieşti , a special operations branch located in Mediaş , a maintenance branch located in Târgu Mureș and one international office located in <e1> Bratislava </e1> , <e2> Slovakia </e2> .",country
"<e1> Make You Happy </e1> is a compilation album by Australian rock band <e2> Divinyls </e2> , which was released on October 21 , 1997 .",performer
"<e1> Make You Happy </e1> is a compilation album by Australian rock band Divinyls , which was released on <e2> October 21 , 1997 </e2> .",publication date
"It consists of material spanning from 1981 to 1993 including the hits "" <e1> Boys in Town </e1> "" , "" <e2> Science Fiction </e2> "" , "" Pleasure and Pain "" and their number - one signature song "" I Touch Myself "" .",followed by
"It consists of material spanning from 1981 to 1993 including the hits "" <e2> Boys in Town </e2> "" , "" <e1> Science Fiction </e1> "" , "" Pleasure and Pain "" and their number - one signature song "" I Touch Myself "" .",follows
"It consists of material spanning from 1981 to 1993 including the hits "" Boys in Town "" , "" <e2> Science Fiction </e2> "" , "" <e1> Pleasure and Pain </e1> "" and their number - one signature song "" I Touch Myself "" .",follows
"Track 20 , "" Love in Motion "" , is a 1992 rerecording of Icehouse 's 1981 single with <e2> Divinyls </e2> ' <e1> Christina Amphlett </e1> featuring on co - lead vocals .",member of
"Track 20 , "" <e1> Love in Motion </e1> "" , is a 1992 rerecording of Icehouse 's 1981 single with <e2> Divinyls </e2> ' Christina Amphlett featuring on co - lead vocals .",performer
"Despite being released in 1997 , this compilation did not include recordings from the band 's <e2> 1996 </e2> album <e1> Underworld </e1> .",publication date
"Björk Digital is an “ immersive ” virtual reality exhibit by <e2> Icelandic </e2> musician <e1> Björk </e1> featuring 360-degree VR music videos from her eighth studio album , Vulnicura .",country of citizenship
"Björk Digital is an “ immersive ” virtual reality exhibit by <e2> Icelandic </e2> musician <e1> Björk </e1> featuring 360-degree VR music videos from her eighth studio album , Vulnicura .","languages spoken, written or signed"
"Björk Digital is an “ immersive ” virtual reality exhibit by Icelandic musician <e2> Björk </e2> featuring 360-degree VR music videos from her eighth studio album , <e1> Vulnicura </e1> .",performer
"Björk Digital is an “ immersive ” virtual reality exhibit by Icelandic musician <e2> Björk </e2> featuring 360-degree VR music videos from her eighth studio album , <e1> Vulnicura </e1> .",producer
"The exhibit debuted at Carriageworks in <e1> Sydney </e1> , <e2> Australia </e2> as part of the Vivid Sydney festival on 4 June 2016 and has traveled across the globe to Tokyo , London , Mexico City , Los Angeles , and other cities around the globe .",country
"The exhibit debuted at <e1> Carriageworks </e1> in Sydney , <e2> Australia </e2> as part of the Vivid Sydney festival on 4 June 2016 and has traveled across the globe to Tokyo , London , Mexico City , Los Angeles , and other cities around the globe .",country
"<e1> Aleksandr Solomonovich Khakhanov </e1> ( ) born Aleksandre Khakhanashvili ( ) ( <e2> January 3 , 1864 </e2> – May 25 , 1912 ) was a Georgian - Russian historian , archaeologist , and one of the most acclaimed scholars of Georgian literature .",date of birth
"<e1> Aleksandr Solomonovich Khakhanov </e1> ( ) born Aleksandre Khakhanashvili ( ) ( January 3 , 1864 – <e2> May 25 , 1912 </e2> ) was a Georgian - Russian historian , archaeologist , and one of the most acclaimed scholars of Georgian literature .",date of death
The <e1> First Empire of Haiti </e1> (; <e2> Haitian Creole </e2> : Anpi an Ayiti ) was an elective monarchy in North America .,official language
"The Governor - General of <e2> Haiti </e2> , <e1> Jean - Jacques Dessalines </e1> , created the empire on September 22 , 1804 .",country of citizenship
"<e1> Emperor Jacques I </e1> was assassinated on <e2> October 17 , 1806 </e2> .",date of death
"Two members of his administration , Alexandre Pétion and Henri Christophe , then assumed power , which led to a split in the country with <e1> Pétion </e1> leading the southern <e2> Republic of Haiti </e2> and Christophe leading the northern State of Haiti .",country of citizenship
"Two members of his administration , <e1> Alexandre Pétion </e1> and Henri Christophe , then assumed power , which led to a split in the country with Pétion leading the southern <e2> Republic of Haiti </e2> and Christophe leading the northern State of Haiti .",country of citizenship
"Two members of his administration , Alexandre Pétion and <e1> Henri Christophe </e1> , then assumed power , which led to a split in the country with Pétion leading the southern <e2> Republic of Haiti </e2> and Christophe leading the northern State of Haiti .",country of citizenship
"Some 43 years later , on August 26 , 1849 , President Faustin Soulouque re - established an <e1> Empire in Haiti </e1> that lasted until <e2> January 15 , 1859 </e2> .","dissolved, abolished or demolished"
"Some 43 years later , on August 26 , 1849 , President <e1> Faustin Soulouque </e1> re - established an <e2> Empire in Haiti </e2> that lasted until January 15 , 1859 .",country of citizenship
"Lake Abitibi ( ) is a lake in northeastern <e1> Ontario </e1> and western Quebec , <e2> Canada </e2> .",located in the administrative territorial entity
"Lake Abitibi ( ) is a lake in northeastern <e1> Ontario </e1> and western Quebec , <e2> Canada </e2> .",country
"Lake Abitibi ( ) is a lake in northeastern Ontario and western <e1> Quebec </e1> , <e2> Canada </e2> .",located in the administrative territorial entity
"Lake Abitibi ( ) is a lake in northeastern Ontario and western <e1> Quebec </e1> , <e2> Canada </e2> .",country
"Lake Abitibi ( ) is a lake in northeastern <e2> Ontario </e2> and western Quebec , <e1> Canada </e1> .",contains administrative territorial entity
"Lake Abitibi ( ) is a lake in northeastern Ontario and western <e2> Quebec </e2> , <e1> Canada </e1> .",contains administrative territorial entity
"<e1> Lake Abitibi </e1> ( ) is a lake in northeastern <e2> Ontario </e2> and western Quebec , Canada .",located in the administrative territorial entity
"<e1> Lake Abitibi </e1> ( ) is a lake in northeastern Ontario and western <e2> Quebec </e2> , Canada .",located in the administrative territorial entity
"<e1> Lake Abitibi </e1> ( ) is a lake in northeastern Ontario and western Quebec , <e2> Canada </e2> .",country
"Its outlet is the Abitibi River , a tributary the <e1> Moose River </e1> , which empties into <e2> James Bay </e2> .",mouth of the watercourse
"Its outlet is the <e2> Abitibi River </e2> , a tributary the <e1> Moose River </e1> , which empties into James Bay .",mouth of the watercourse
"Its outlet is the Abitibi River , a tributary the <e2> Moose River </e2> , which empties into <e1> James Bay </e1> .",mouth of the watercourse
"Its outlet is the <e1> Abitibi River </e1> , a tributary the <e2> Moose River </e2> , which empties into James Bay .",mouth of the watercourse
"Its outlet is the <e1> Abitibi River </e1> , a tributary the Moose River , which empties into <e2> James Bay </e2> .",mouth of the watercourse
"Filmmakers explained their choice of <e1> Baltimore </e1> as a setting for the 2009 movie He 's Just Not That Into You because "" We were trying to think of an American urban city that did n't feel like you 'd seen it a million times before , "" and "" We wanted something like , not exactly every - small - town <e2> U.S.A. </e2> , but every - urban - young - center U.S.A. , so we could all see ourselves in these people . """,country
"Filmmakers explained their choice of <e1> Baltimore </e1> as a setting for the 2009 movie He 's Just Not That Into You because "" We were trying to think of an <e2> American </e2> urban city that did n't feel like you 'd seen it a million times before , "" and "" We wanted something like , not exactly every - small - town U.S.A. , but every - urban - young - center U.S.A. , so we could all see ourselves in these people . """,country
"Filmmakers explained their choice of <e2> Baltimore </e2> as a setting for the 2009 movie <e1> He 's Just Not That Into You </e1> because "" We were trying to think of an American urban city that did n't feel like you 'd seen it a million times before , "" and "" We wanted something like , not exactly every - small - town U.S.A. , but every - urban - young - center U.S.A. , so we could all see ourselves in these people . """,narrative location
"Filmmakers explained their choice of Baltimore as a setting for the <e2> 2009 </e2> movie <e1> He 's Just Not That Into You </e1> because "" We were trying to think of an American urban city that did n't feel like you 'd seen it a million times before , "" and "" We wanted something like , not exactly every - small - town U.S.A. , but every - urban - young - center U.S.A. , so we could all see ourselves in these people . """,publication date
"Filmmakers explained their choice of Baltimore as a setting for the 2009 movie <e1> He 's Just Not That Into You </e1> because "" We were trying to think of an American urban city that did n't feel like you 'd seen it a million times before , "" and "" We wanted something like , not exactly every - small - town <e2> U.S.A. </e2> , but every - urban - young - center U.S.A. , so we could all see ourselves in these people . """,country of origin
"<e1> Ilkka Heikki Herlin </e1> ( born <e2> 25 January 1959 </e2> ) is a Finnish billionaire , the chairman and one of the owners of Cargotec , and one of the owners of the elevator and escalator maker Kone .",date of birth
"<e1> Ilkka Heikki Herlin </e1> ( born 25 January 1959 ) is a <e2> Finnish </e2> billionaire , the chairman and one of the owners of Cargotec , and one of the owners of the elevator and escalator maker Kone .",country of citizenship
"<e1> Ilkka Heikki Herlin </e1> ( born 25 January 1959 ) is a <e2> Finnish </e2> billionaire , the chairman and one of the owners of Cargotec , and one of the owners of the elevator and escalator maker Kone .",country
"Ilkka Heikki Herlin ( born 25 January 1959 ) is a <e2> Finnish </e2> billionaire , the chairman and one of the owners of <e1> Cargotec </e1> , and one of the owners of the elevator and escalator maker Kone .",country
"Ilkka Heikki Herlin ( born 25 January 1959 ) is a <e2> Finnish </e2> billionaire , the chairman and one of the owners of Cargotec , and one of the owners of the elevator and escalator maker <e1> Kone </e1> .",country
"His father <e1> Pekka Herlin </e1> died in <e2> 2003 </e2> , and it was discovered that he had rewritten his will in 1999 , leaving most of the elevator and escalator maker Kone to Ilkka 's brother Antti Herlin .",date of death
"His father <e1> Pekka Herlin </e1> died in 2003 , and it was discovered that he had rewritten his will in 1999 , leaving most of the elevator and escalator maker Kone to Ilkka 's brother <e2> Antti Herlin </e2> .",child
"His father Pekka Herlin died in 2003 , and it was discovered that he had rewritten his will in 1999 , leaving most of the elevator and escalator maker Kone to <e2> Ilkka </e2> 's brother <e1> Antti Herlin </e1> .",sibling
"His father <e2> Pekka Herlin </e2> died in 2003 , and it was discovered that he had rewritten his will in 1999 , leaving most of the elevator and escalator maker Kone to Ilkka 's brother <e1> Antti Herlin </e1> .",father
"Ilkka and his siblings <e1> Ilona </e1> and <e2> Niklas </e2> were unhappy about not being informed , and the dispute finally ended in 2005 .",sibling
"Herlin is married , with four children , and lives in <e1> Helsinki </e1> , <e2> Finland </e2> .",country
<e1> Giacomo Bulgarelli </e1> ( <e2> 24 October 1940 </e2> – 12 February 2009 ) was an Italian international footballer who played as a midfielder .,date of birth
<e1> Giacomo Bulgarelli </e1> ( 24 October 1940 – <e2> 12 February 2009 </e2> ) was an Italian international footballer who played as a midfielder .,date of death
"Regarded as one of Italy 's greatest ever midfielders , <e1> Bulgarelli </e1> spent his entire club career with Italian side Bologna , where he also served as the team 's captain ; an important figure with the club , he is the team 's record all - time appearance holder , and won the Serie A title with the <e2> Bolognese </e2> side in 1964 , among other trophies .",member of sports team
"Regarded as one of <e2> Italy </e2> 's greatest ever midfielders , Bulgarelli spent his entire club career with Italian side <e1> Bologna </e1> , where he also served as the team 's captain ; an important figure with the club , he is the team 's record all - time appearance holder , and won the Serie A title with the Bolognese side in 1964 , among other trophies .",country
"Regarded as one of Italy 's greatest ever midfielders , Bulgarelli spent his entire club career with <e2> Italian </e2> side <e1> Bologna </e1> , where he also served as the team 's captain ; an important figure with the club , he is the team 's record all - time appearance holder , and won the Serie A title with the Bolognese side in 1964 , among other trophies .",country
"Regarded as one of <e2> Italy </e2> 's greatest ever midfielders , Bulgarelli spent his entire club career with Italian side Bologna , where he also served as the team 's captain ; an important figure with the club , he is the team 's record all - time appearance holder , and won the Serie A title with the <e1> Bolognese </e1> side in 1964 , among other trophies .",country
"Regarded as one of Italy 's greatest ever midfielders , Bulgarelli spent his entire club career with <e2> Italian </e2> side Bologna , where he also served as the team 's captain ; an important figure with the club , he is the team 's record all - time appearance holder , and won the Serie A title with the <e1> Bolognese </e1> side in 1964 , among other trophies .",country
"Following his retirement , he had a brief spell in <e2> America </e2> with the <e1> Hartford Bicentennials </e1> in 1975 , and later also had a successful career as football commentator in the 90s .",country
"The President , Directors , and Company , of the Bank of North America , commonly known as the <e1> Bank of North America </e1> , was a private bank first adopted on <e2> May 26 , 1781 </e2> by the Confederation Congress , chartered on December 31 , 1781 and opened in Philadelphia on January 7 , 1782 .",inception
"The President , Directors , and Company , of the Bank of North America , commonly known as the <e1> Bank of North America </e1> , was a private bank first adopted on May 26 , 1781 by the <e2> Confederation Congress </e2> , chartered on December 31 , 1781 and opened in Philadelphia on January 7 , 1782 .",legislative body
<e1> Love Story </e1> is the second studio album by American rapper <e2> Yelawolf </e2> .,performer
The Texans compete in the <e2> National Football League </e2> ( NFL ) as a member club of the <e1> American Football Conference </e1> ( AFC ) South division .,part of
"The Texans replaced the city 's previous <e2> NFL </e2> franchise , the <e1> Houston Oilers </e1> , which moved to Nashville , Tennessee and are now known as the Tennessee Titans .",league
"The Texans replaced the city 's previous <e2> NFL </e2> franchise , the Houston Oilers , which moved to Nashville , Tennessee and are now known as the <e1> Tennessee Titans </e1> .",league
"<e1> Hawkes Heights </e1> is an ice - filled crater rising to that dominates the southern part of Coulman Island , in the Ross Sea , <e2> Antarctica </e2> , and marks the island 's summit .",continent
"Hawkes Heights is an ice - filled crater rising to that dominates the southern part of <e1> Coulman Island </e1> , in the <e2> Ross Sea </e2> , Antarctica , and marks the island 's summit .",located on terrain feature
"Hawkes Heights is an ice - filled crater rising to that dominates the southern part of <e1> Coulman Island </e1> , in the <e2> Ross Sea </e2> , Antarctica , and marks the island 's summit .",located in or next to body of water
"Hawkes Heights is an ice - filled crater rising to that dominates the southern part of <e1> Coulman Island </e1> , in the Ross Sea , <e2> Antarctica </e2> , and marks the island 's summit .",continent
"Hawkes Heights is an ice - filled crater rising to that dominates the southern part of Coulman Island , in the <e1> Ross Sea </e1> , <e2> Antarctica </e2> , and marks the island 's summit .",continent
"The feature was named by the New Zealand Geological Survey Antarctic Expedition ( NZGSAE ) , 1958–59 , for Captain <e1> William M. Hawkes </e1> , <e2> U.S. Navy </e2> , who took a leading part in early air operations from Williams Field near McMurdo Station , including long range photo reconnaissance and supply flights , and the first air landing at the South Pole .",military branch
"Läkerol was founded by Adolf Ahlgren in <e2> 1909 </e2> and , due to which , most <e1> Läkerol </e1> candies are stamped with the imprint of the letter "" A "" .",inception
<e1> La Conexión </e1> ( English : Connection ) is a mixtape recorded by Puerto Rican - American girl group <e2> Nina Sky </e2> .,performer
"La Conexión failed to chart anywhere , but its lead single "" <e1> Play That Song </e1> "" ( <e2> Tony Touch </e2> featuring Nina Sky and B - Real ) was success .",performer
<e1> Nallari Kiran Kumar Reddy </e1> ( born <e2> 13 September 1960 </e2> ) is an Indian politician who served as the Chief Minister of Andhra Pradesh .,date of birth
<e1> Nallari Kiran Kumar Reddy </e1> ( born 13 September 1960 ) is an <e2> Indian </e2> politician who served as the Chief Minister of Andhra Pradesh .,country of citizenship
Nallari Kiran Kumar Reddy ( born 13 September 1960 ) is an <e1> Indian </e1> politician who served as the Chief Minister of <e2> Andhra Pradesh </e2> .,contains administrative territorial entity
Nallari Kiran Kumar Reddy ( born 13 September 1960 ) is an <e2> Indian </e2> politician who served as the Chief Minister of <e1> Andhra Pradesh </e1> .,country
"He was the last Chief Minister of the United Andhra Pradesh before the formation of the <e1> Telangana </e1> state on <e2> June 2 , 2014 </e2> .",inception
"On <e2> March 10 , 2014 </e2> he floated his new political outfit called <e1> Jai Samaikyandhra Party </e1> .",inception
<e1> Jungle Rules </e1> is the second studio album by Moroccan - American rapper <e2> French Montana </e2> .,performer
"The album succeeds his mixtape <e1> MC4 </e1> ( <e2> 2016 </e2> ) , which was originally intended to be his second studio album .",publication date
""" <e1> La Bicicleta </e1> "" ( ) is a song by Colombian singers <e2> Carlos Vives </e2> and Shakira from Vives ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",performer
""" <e1> La Bicicleta </e1> "" ( ) is a song by Colombian singers Carlos Vives and <e2> Shakira </e2> from Vives ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",performer
""" <e1> La Bicicleta </e1> "" ( ) is a song by Colombian singers Carlos Vives and Shakira from Vives ' fifteenth studio album Vives ( <e2> 2017 </e2> ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",publication date
""" <e1> La Bicicleta </e1> "" ( ) is a song by Colombian singers Carlos Vives and Shakira from Vives ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album <e2> El Dorado </e2> ( 2017 ) .",part of
""" <e1> La Bicicleta </e1> "" ( ) is a song by Colombian singers Carlos Vives and Shakira from Vives ' fifteenth studio album <e2> Vives </e2> ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",part of
""" <e1> La Bicicleta </e1> "" ( ) is a song by <e2> Colombian </e2> singers Carlos Vives and Shakira from Vives ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",country of origin
""" La Bicicleta "" ( ) is a song by <e2> Colombian </e2> singers <e1> Carlos Vives </e1> and Shakira from Vives ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",country of citizenship
""" La Bicicleta "" ( ) is a song by <e2> Colombian </e2> singers Carlos Vives and <e1> Shakira </e1> from Vives ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",country of citizenship
""" La Bicicleta "" ( ) is a song by Colombian singers Carlos Vives and <e2> Shakira </e2> from Vives ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album <e1> El Dorado </e1> ( 2017 ) .",performer
""" La Bicicleta "" ( ) is a song by Colombian singers Carlos Vives and Shakira from Vives ' fifteenth studio album Vives ( <e2> 2017 </e2> ) and is also included as an album track on Shakira 's eleventh studio album <e1> El Dorado </e1> ( 2017 ) .",publication date
""" La Bicicleta "" ( ) is a song by <e2> Colombian </e2> singers Carlos Vives and Shakira from <e1> Vives </e1> ' fifteenth studio album Vives ( 2017 ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",country of citizenship
""" La Bicicleta "" ( ) is a song by Colombian singers Carlos Vives and Shakira from Vives ' fifteenth studio album <e1> Vives </e1> ( <e2> 2017 </e2> ) and is also included as an album track on Shakira 's eleventh studio album El Dorado ( 2017 ) .",publication date
"The clip premiered on 8 July 2016 and it features Shakira and <e1> Vives </e1> traveling with bikes along the Caribbean coast of Colombia , visiting their hometowns <e2> Santa Marta </e2> and Barranquilla and engaging with locals in dance battles .",place of birth
"The clip premiered on 8 July 2016 and it features Shakira and Vives traveling with bikes along the Caribbean coast of <e2> Colombia </e2> , visiting their hometowns Santa Marta and <e1> Barranquilla </e1> and engaging with locals in dance battles .",country
"The clip premiered on 8 July 2016 and it features Shakira and Vives traveling with bikes along the Caribbean coast of <e2> Colombia </e2> , visiting their hometowns <e1> Santa Marta </e1> and Barranquilla and engaging with locals in dance battles .",country
"The clip premiered on 8 July 2016 and it features Shakira and Vives traveling with bikes along the <e2> Caribbean </e2> coast of <e1> Colombia </e1> , visiting their hometowns Santa Marta and Barranquilla and engaging with locals in dance battles .",located on terrain feature
"A remix version of "" La Bicicleta "" featuring new verses sung by <e2> Colombian </e2> singer <e1> Maluma </e1> was uploaded online on 19 August 2016 .",country of citizenship
"In 2004 he was employed by <e1> Khalid El - Masri </e1> , a <e2> German </e2> citizen who was subjected to extraordinary rendition by the CIA in the years past .",country of citizenship
"On December 8 , 2005 , following a meeting with <e2> United States </e2> Secretary of State <e1> Condoleezza Rice </e1> , German Chancellor Angela Merkel announced that Dr Rice had privately acknowledged that El - Masri had been captured and transported in error .",country
"On December 8 , 2005 , following a meeting with <e2> United States </e2> Secretary of State <e1> Condoleezza Rice </e1> , German Chancellor Angela Merkel announced that Dr Rice had privately acknowledged that El - Masri had been captured and transported in error .",country of citizenship
"On December 8 , 2005 , following a meeting with United States Secretary of State Condoleezza Rice , <e1> German </e1> Chancellor <e2> Angela Merkel </e2> announced that Dr Rice had privately acknowledged that El - Masri had been captured and transported in error .",head of government
"On December 8 , 2005 , following a meeting with United States Secretary of State Condoleezza Rice , <e2> German </e2> Chancellor <e1> Angela Merkel </e1> announced that Dr Rice had privately acknowledged that El - Masri had been captured and transported in error .",ethnic group
"On December 8 , 2005 , following a meeting with United States Secretary of State Condoleezza Rice , <e2> German </e2> Chancellor <e1> Angela Merkel </e1> announced that Dr Rice had privately acknowledged that El - Masri had been captured and transported in error .",country of citizenship
"Susannah Maria Cibber ( <e2> February 1714 </e2> – 30 January 1766 ) , also known as <e1> Susannah Maria Arne </e1> , was a celebrated English singer and actress and the sister of the composer Thomas Arne .",date of birth
"Susannah Maria Cibber ( February 1714 – <e2> 30 January 1766 </e2> ) , also known as <e1> Susannah Maria Arne </e1> , was a celebrated English singer and actress and the sister of the composer Thomas Arne .",date of death
"Cibber was particularly admired by <e2> Handel </e2> , who wrote numerous parts especially for her including the contralto arias in his 1741 oratorio <e1> Messiah </e1> , the role of Micah in Samson , the role of Lichas in Hercules and the role of David in Saul among others .",composer
"<e1> Jesús de la Rosa </e1> ( born <e2> August 5 , 1953 </e2> ) is a former professional baseball player whose career extended from 1969 through 1980 .",date of birth
"He appeared as a pinch hitter in three games in August in <e2> Major League Baseball </e2> for the <e1> Houston Astros </e1> , collecting one hit in three at bats , a double off Pete Falcone of the San Francisco Giants in the ninth inning of a 5–4 defeat at Candlestick Park on August 3 .",league
"He appeared as a pinch hitter in three games in August in Major League Baseball for the Houston Astros , collecting one hit in three at bats , a double off <e1> Pete Falcone </e1> of the <e2> San Francisco Giants </e2> in the ninth inning of a 5–4 defeat at Candlestick Park on August 3 .",member of sports team
"He appeared as a pinch hitter in three games in August in <e2> Major League Baseball </e2> for the Houston Astros , collecting one hit in three at bats , a double off Pete Falcone of the <e1> San Francisco Giants </e1> in the ninth inning of a 5–4 defeat at Candlestick Park on August 3 .",league
<e1> Carlos Moscardini </e1> ( born <e2> 1959 </e2> ) is an Argentine composer and guitarist .,date of birth
<e1> Carlos Moscardini </e1> ( born 1959 ) is an <e2> Argentine </e2> composer and guitarist .,country of citizenship
"<e1> Abdul Qadeer Khan </e1> , (; ; born <e2> 1935 </e2> or 1936 ) , known as A. Q. Khan , is a Pakistani nuclear physicist and a metallurgical engineer , who founded the uranium enrichment program for Pakistan 's atomic bomb project .",date of birth
"<e1> Abdul Qadeer Khan </e1> , (; ; born 1935 or <e2> 1936 </e2> ) , known as A. Q. Khan , is a Pakistani nuclear physicist and a metallurgical engineer , who founded the uranium enrichment program for Pakistan 's atomic bomb project .",date of birth
"<e1> Abdul Qadeer Khan </e1> , (; ; born 1935 or 1936 ) , known as A. Q. Khan , is a Pakistani nuclear physicist and a metallurgical engineer , who founded the uranium enrichment program for <e2> Pakistan </e2> 's atomic bomb project .",country of citizenship
"The Chaco National Park ( ) is a national park of <e1> Argentina </e1> , located in the province of <e2> Chaco </e2> .",contains administrative territorial entity
"The <e1> Chaco National Park </e1> ( ) is a national park of <e2> Argentina </e2> , located in the province of Chaco .",country
"The Chaco National Park ( ) is a national park of <e2> Argentina </e2> , located in the province of <e1> Chaco </e1> .",country
"The Chaco National Park ( ) is a national park of <e2> Argentina </e2> , located in the province of <e1> Chaco </e1> .",located in the administrative territorial entity
"<e1> Lament </e1> is a studio album by German band <e2> Einstürzende Neubauten </e2> , released on 7 November 2014 .",performer
The album is a studio reconstruction of a performance piece commissioned by the <e2> Belgian </e2> town of <e1> Diksmuide </e1> to commemorate the outbreak of World War I.,country
"The track "" The Willy - Nicky Telegrams "" is a duet between Alexander Hacke , playing Russian Tsar Nicholas II , and Blixa Bargeld , as <e1> Kaiser Wilhelm </e1> of <e2> Germany </e2> , discussing the diplomatic manoeuvring that lead to war via telegram exchange .",country of citizenship
"The performance also includes two songs written by James Reese Europe , musical director of <e2> the United States </e2> ' <e1> 369th Infantry Regiment </e1> , also known as the Harlem Hellfighters .",country
"The performance also includes two songs written by <e1> James Reese Europe </e1> , musical director of <e2> the United States </e2> ' 369th Infantry Regiment , also known as the Harlem Hellfighters .",country of citizenship
"The Yale Center for the Study of Globalization , or YCSG , is a research center at <e1> Yale University </e1> at <e2> New Haven </e2> , Connecticut .",located in the administrative territorial entity
"The Yale Center for the Study of Globalization , or YCSG , is a research center at <e1> Yale University </e1> at New Haven , <e2> Connecticut </e2> .",located in the administrative territorial entity
"The <e2> Yale Center for the Study of Globalization </e2> , or YCSG , is a research center at <e1> Yale University </e1> at New Haven , Connecticut .",has part
"The <e1> Yale Center for the Study of Globalization </e1> , or YCSG , is a research center at Yale University at New Haven , <e2> Connecticut </e2> .",located in the administrative territorial entity
"The current director is <e1> Ernesto Zedillo </e1> , president of <e2> Mexico </e2> from 1994 to 2000 .",country of citizenship
"The current director is <e2> Ernesto Zedillo </e2> , president of <e1> Mexico </e1> from 1994 to 2000 .",head of state
"Kilju Ch'ŏngnyŏn Station is a railway station in Kilju - ŭp , Kilju county , <e1> North Hamgyŏng </e1> province , <e2> North Korea </e2> .",country
"Kilju Ch'ŏngnyŏn Station is a railway station in Kilju - ŭp , Kilju county , <e1> North Hamgyŏng </e1> province , <e2> North Korea </e2> .",located in the administrative territorial entity
"Kilju Ch'ŏngnyŏn Station is a railway station in <e2> Kilju - ŭp </e2> , Kilju county , <e1> North Hamgyŏng </e1> province , North Korea .",contains administrative territorial entity
"Kilju Ch'ŏngnyŏn Station is a railway station in Kilju - ŭp , Kilju county , <e2> North Hamgyŏng </e2> province , <e1> North Korea </e1> .",contains administrative territorial entity
"<e1> Kilju Ch'ŏngnyŏn Station </e1> is a railway station in Kilju - ŭp , Kilju county , North Hamgyŏng province , <e2> North Korea </e2> .",country
"<e1> Kilju Ch'ŏngnyŏn Station </e1> is a railway station in <e2> Kilju - ŭp </e2> , Kilju county , North Hamgyŏng province , North Korea .",located in the administrative territorial entity
"Kilju Ch'ŏngnyŏn Station is a railway station in <e1> Kilju - ŭp </e1> , Kilju county , North Hamgyŏng province , <e2> North Korea </e2> .",country
"Kilju Ch'ŏngnyŏn Station is a railway station in Kilju - ŭp , <e1> Kilju </e1> county , <e2> North Hamgyŏng </e2> province , North Korea .",located in the administrative territorial entity
"Kilju Ch'ŏngnyŏn Station is a railway station in Kilju - ŭp , <e1> Kilju </e1> county , North Hamgyŏng province , <e2> North Korea </e2> .",country
"Kilju Ch'ŏngnyŏn Station is a railway station in <e2> Kilju - ŭp </e2> , <e1> Kilju </e1> county , North Hamgyŏng province , North Korea .",contains administrative territorial entity
It is the junction point of the <e1> Paektusan Ch'ŏngnyŏn </e1> and P'yŏngra lines of the <e2> Korean State Railway </e2> .,owned by
